,user_id,post_created,followers,friends,statuses,label,cleaned_text,emotion_encoded,emotion
0,60868031,2009-08-26 13:19:08+00:00,1768,532,5720,1,bc goody pulver,1,joy
1,60868031,2009-08-26 13:19:21+00:00,1768,532,5720,1,der peripherie de todes,3,anger
2,60868031,2009-08-26 17:16:35+00:00,1768,532,5720,1,laboratory manual anatomy physiology,4,fear
3,60868031,2009-08-26 19:51:27+00:00,1768,532,5720,1,magnetische lumbar support pillow,4,fear
4,60868031,2009-08-27 00:18:38+00:00,1768,532,5720,1,dog owner home veterinary handbook,3,anger
5,60868031,2009-08-27 08:28:51+00:00,1768,532,5720,1,early story 19531975,1,joy
6,60868031,2009-08-27 10:07:13+00:00,1768,532,5720,1,bucky junior boy ukissen,1,joy
7,60868031,2009-08-27 16:36:34+00:00,1768,532,5720,1,help much pain everyday,1,joy
8,60868031,2009-08-27 17:36:18+00:00,1768,532,5720,1,artistic people prone suicide depression,0,sadness
9,60868031,2009-08-27 17:36:31+00:00,1768,532,5720,1,alternative hair gel cause headache,4,fear
10,60868031,2009-08-27 18:03:58+00:00,1768,532,5720,1,understanding dealing depression dvd 18 min,0,sadness
11,60868031,2009-08-27 18:04:04+00:00,1768,532,5720,1,migraine childhood nonepileptic paroxysmal disorder,4,fear
12,60868031,2009-08-27 18:30:33+00:00,1768,532,5720,1,bulging disc lower back,4,fear
13,60868031,2009-08-27 18:30:41+00:00,1768,532,5720,1,exam coming cant study would caffeine pill help,1,joy
14,60868031,2009-08-27 19:04:25+00:00,1768,532,5720,1,alternative medication migraine outside zomigimmotrex become expensive,0,sadness
15,60868031,2009-08-27 19:04:31+00:00,1768,532,5720,1,experiencing nausea eating last one two week,4,fear
16,60868031,2009-08-27 19:27:40+00:00,1768,532,5720,1,safe contraceptive implant get migraine aura,1,joy
17,60868031,2009-08-27 19:27:53+00:00,1768,532,5720,1,best natural remedy hangover really quesy stomach headache,0,sadness
18,60868031,2009-08-27 20:30:35+00:00,1768,532,5720,1,optical migraine pain,4,fear
19,60868031,2009-08-27 20:30:42+00:00,1768,532,5720,1,optical migraine,4,fear
20,60868031,2009-08-27 20:30:47+00:00,1768,532,5720,1,back injury car accident led path medication anyone similar experience,4,fear
21,60868031,2009-08-27 21:03:07+00:00,1768,532,5720,1,goodbye back pain suffers guide full back recovery future prevention,0,sadness
22,60868031,2009-08-27 21:03:12+00:00,1768,532,5720,1,get rid headache without medication,0,sadness
23,60868031,2009-08-27 21:03:19+00:00,1768,532,5720,1,migraine remedy arent prescription drug,0,sadness
24,60868031,2009-08-27 21:32:09+00:00,1768,532,5720,1,visual food encyclopedia definitive practical guide food cooking,1,joy
25,60868031,2009-08-27 21:32:14+00:00,1768,532,5720,1,depression suicide self harm drug abuse anorexia film,0,sadness
26,60868031,2009-08-27 21:32:20+00:00,1768,532,5720,1,managing migraine migraine sufferer practical guide,1,joy
27,60868031,2009-08-27 21:32:28+00:00,1768,532,5720,1,prevent menstrual migraine,4,fear
28,60868031,2009-08-27 21:32:35+00:00,1768,532,5720,1,menstrual migraine,4,fear
29,60868031,2009-08-27 22:10:48+00:00,1768,532,5720,1,dizziness anxiety,4,fear
30,60868031,2009-08-27 22:10:53+00:00,1768,532,5720,1,amitriptyline cluster headache,0,sadness
31,60868031,2009-08-27 22:11:03+00:00,1768,532,5720,1,whats quick fix clusterheadaches besides oxygen,1,joy
32,60868031,2009-08-27 22:11:10+00:00,1768,532,5720,1,migraine headache come,0,sadness
33,60868031,2009-08-27 22:11:30+00:00,1768,532,5720,1,migraine work complete guide overcoming preventing pain,0,sadness
34,60868031,2009-08-27 23:01:56+00:00,1768,532,5720,1,spinal confusion tail,4,fear
35,60868031,2009-08-27 23:02:15+00:00,1768,532,5720,1,complete treatise headache disease head 1 nature treatment headache 2 natu,4,fear
36,60868031,2009-08-27 23:03:16+00:00,1768,532,5720,1,headache,0,sadness
37,60868031,2009-08-27 23:30:27+00:00,1768,532,5720,1,magnesium citrate migraine,0,sadness
38,60868031,2009-08-27 23:30:30+00:00,1768,532,5720,1,headon extra strength headache relief homeopathic roll 0 20 oz,1,joy
39,60868031,2009-08-27 23:30:40+00:00,1768,532,5720,1,would situation,3,anger
40,60868031,2009-08-28 00:12:10+00:00,1768,532,5720,1,bad jaw migraine,0,sadness
41,60868031,2009-08-28 00:12:17+00:00,1768,532,5720,1,msg monosodium glutamate make sleepy,4,fear
42,60868031,2009-08-28 00:12:40+00:00,1768,532,5720,1,weight lifter rapidly lift snap lift,4,fear
43,60868031,2009-08-28 01:07:59+00:00,1768,532,5720,1,stomach migraine child adulthood go away time,0,sadness
44,60868031,2009-08-28 02:02:43+00:00,1768,532,5720,1,nature herb feverfew leaf 380 mg capsule 100 capsule,1,joy
45,60868031,2009-08-28 02:02:51+00:00,1768,532,5720,1,take ashwagandha ltheanine feverfew,4,fear
46,60868031,2009-08-28 02:02:58+00:00,1768,532,5720,1,targus awe26us ergonomic mstand notebook computer,4,fear
47,60868031,2009-08-28 02:03:08+00:00,1768,532,5720,1,overcome neck back pain,0,sadness
48,60868031,2009-08-28 02:03:15+00:00,1768,532,5720,1,using antinausea ear patch pregnant,4,fear
49,60868031,2009-08-28 02:59:10+00:00,1768,532,5720,1,vertigo could causing ear problem help,4,fear
50,60868031,2009-08-28 02:59:13+00:00,1768,532,5720,1,vertigo diarrhea whats wrong,4,fear
51,60868031,2009-08-28 02:59:18+00:00,1768,532,5720,1,treatment vertigo,4,fear
52,60868031,2009-08-28 02:59:23+00:00,1768,532,5720,1,migraine something serious,3,anger
53,60868031,2009-08-28 03:33:26+00:00,1768,532,5720,1,goody powder make sick,3,anger
54,60868031,2009-08-28 03:33:29+00:00,1768,532,5720,1,nortriptyline depression med migraine,0,sadness
55,60868031,2009-08-28 03:33:32+00:00,1768,532,5720,1,headache chronic pain syndrome,0,sadness
56,60868031,2009-08-28 03:33:40+00:00,1768,532,5720,1,best cure migraine medicated stand,0,sadness
